seed,source,k,operator,subject,n,accuracy,macro_f1,nll,brier,confidence,mean_l1_to_k1,prediction_flip_rate
0,M1,100,cpsa,20,384,0.875,0.69491249017561474,0.28042992949485779,0.16841404139995575,0.91545724868774414,0.25423642992973328,0.067708333333333329
0,M1,100,cpsa,24,410,0.96585365853658534,0.75540875789401374,0.15591125190258026,0.057882066816091537,0.96088480949401855,0.18532456457614899,0.046341463414634146
0,M2,1,cpsa,2,324,0.94135802469135799,0.69671377704538118,0.20020544528961182,0.10048334300518036,0.87976562976837158,0,0
0,M2,1,cpsa,4,336,0.94047619047619047,0.81415155090583813,0.21924149990081787,0.10760892927646637,0.85508275032043457,0,0
0,M2,1,cpsa,9,311,0.80707395498392287,0.57586005873832713,0.49371093511581421,0.26636204123497009,0.78675633668899536,0,0
0,M2,1,cpsa,10,306,0.77124183006535951,0.66776292133820736,0.52582395076751709,0.29533165693283081,0.82359182834625244,0,0
0,M2,1,cpsa,12,340,0.94705882352941173,0.75873899700985081,0.19167722761631012,0.088885605335235596,0.88418400287628174,0,0
0,M2,1,cpsa,13,348,0.95977011494252873,0.85376936344767029,0.1739434152841568,0.07516065239906311,0.8902137279510498,0,0
0,M2,1,cpsa,18,403,0.89330024813895781,0.76859548451033533,0.29177170991897583,0.15061873197555542,0.87588775157928467,0,0
0,M2,1,cpsa,20,384,0.87239583333333337,0.72434743495572895,0.31859198212623596,0.16999705135822296,0.82643789052963257,0,0
0,M2,1,cpsa,24,410,0.93902439024390238,0.83963163735023549,0.2278289794921875,0.10053189843893051,0.89481496810913086,0,0
0,M2,2,cpsa,2,324,0.9228395061728395,0.66007947998534,0.22573235630989075,0.11243568360805511,0.86256712675094604,0.088877215981483459,0.030864197530864196
0,M2,2,cpsa,4,336,0.93452380952380953,0.78587472273498682,0.25331079959869385,0.12331049889326096,0.83569461107254028,0.089020214974880219,0.023809523809523808
0,M2,2,cpsa,9,311,0.80064308681672025,0.57638404525277498,0.53319138288497925,0.27992340922355652,0.75872701406478882,0.14742058515548706,0.077170418006430874
0,M2,2,cpsa,10,306,0.80392156862745101,0.69660229452633793,0.49623677134513855,0.27257928252220154,0.79964292049407959,0.13859763741493225,0.068627450980392163
0,M2,2,cpsa,12,340,0.94999999999999996,0.79848896219250942,0.22840876877307892,0.10818550735712051,0.85920178890228271,0.079062104225158691,0.020588235294117647
