seed,source,k,attn_mean,attn_median,attn_p10,attn_p90,attn_min,attn_max,mean_l1_to_pj
0,M2,16,0.90294027328491211,0.9286763072013855,0.81012141704559326,0.95115363597869873,0.61091768741607666,0.98941922187805176,0.077711455523967743
0,M2,32,0.94797617197036743,0.96330833435058594,0.89592498540878296,0.9750322699546814,0.76071798801422119,0.9946398138999939,0.042375180870294571
0,M2,64,0.97297388315200806,0.98133069276809692,0.94523358345031738,0.98738151788711548,0.86490625143051147,0.99730157852172852,0.022233793511986732
0,M2,100,0.98245143890380859,0.98797571659088135,0.96427291631698608,0.991912841796875,0.9093291163444519,0.99826890230178833,0.01449266541749239
1,M1,1,0.58859986066818237,0.53545212745666504,0.42501825094223022,0.88109171390533447,0.084306970238685608,0.95261460542678833,0.23514421284198761
1,M1,2,0.73257195949554443,0.70042622089385986,0.60454118251800537,0.94433504343032837,0.17421446740627289,0.97865557670593262,0.15102377533912659
1,M1,3,0.80130922794342041,0.77946192026138306,0.69937288761138916,0.96426832675933838,0.25301951169967651,0.98655849695205688,0.11182835698127747
1,M1,5,0.86848342418670654,0.85593962669372559,0.79825329780578613,0.97962081432342529,0.37666308879852295,0.99238282442092896,0.073923245072364807
1,M1,8,0.91260707378387451,0.90519833564758301,0.86455750465393066,0.98767232894897461,0.50290197134017944,0.99542111158370972,0.049151837825775146
1,M1,16,0.95380705595016479,0.95048248767852783,0.92786335945129395,0.99406886100769043,0.67861825227737427,0.99779403209686279,0.026035139337182045
1,M1,32,0.97620522975921631,0.97464275360107422,0.9627234935760498,0.99707603454589844,0.81212115287780762,0.99891936779022217,0.013438676483929157
1,M1,64,0.98791652917861938,0.98717999458312988,0.9810604453086853,0.99854928255081177,0.89744699001312256,0.99946540594100952,0.0068341013975441456
1,M1,100,0.99222230911254883,0.99175900220870972,0.9878077507019043,0.99907553195953369,0.93207508325576782,0.99965924024581909,0.0044014318846166134
1,M2,1,0.41140010952949524,0.46454781293869019,0.11890827864408493,0.574981689453125,0.047385379672050476,0.91569304466247559,0.4144381582736969
1,M2,2,0.56845003366470337,0.63803637027740479,0.23255579173564911,0.73845934867858887,0.10188954323530197,0.96137207746505737,0.31800928711891174
1,M2,3,0.65481835603713989,0.72707754373550415,0.32884493470191956,0.8129315972328186,0.15377877652645111,0.97558557987213135,0.26194846630096436
1,M2,5,0.74971306324005127,0.8175194263458252,0.4620145857334137,0.88050270080566406,0.24396175146102905,0.98616600036621094,0.19692583382129669
1,M2,8,0.82033371925354004,0.87811768054962158,0.58978670835494995,0.9229055643081665,0.34989762306213379,0.99169075489044189,0.14559637010097504
1,M2,16,0.89567381143569946,0.93541085720062256,0.75087869167327881,0.96068495512008667,0.52817016839981079,0.99600154161453247,0.087438307702541351
1,M2,32,0.9425966739654541,0.96668326854705811,0.86000669002532959,0.98016148805618286,0.69625848531723022,0.99804282188415527,0.049172002822160721
1,M2,64,0.96963107585906982,0.98307007551193237,0.92559146881103516,0.99003791809082031,0.82278811931610107,0.99903213977813721,0.026347488164901733
1,M2,100,0.98012709617614746,0.98910200595855713,0.95131850242614746,0.99360781908035278,0.87935012578964233,0.99938344955444336,0.017326952889561653
2,M1,1,0.59520125389099121,0.54740887880325317,0.43724611401557922,0.88968867063522339,0.07036658376455307,0.95732837915420532,0.23641452193260193
2,M1,2,0.73146414756774902,0.70943200588226318,0.61369627714157104,0.94223833084106445,0.13903889060020447,0.97922253608703613,0.16119983792304993
2,M1,3,0.79730451107025146,0.78627365827560425,0.70469224452972412,0.96109461784362793,0.20012462139129639,0.98596501350402832,0.12467271089553833
2,M1,5,0.862892746925354,0.86012482643127441,0.80028378963470459,0.97638273239135742,0.30103468894958496,0.99132716655731201,0.087237611413002014
2,M1,8,0.90711444616317749,0.90788424015045166,0.86526674032211304,0.98515629768371582,0.41318139433860779,0.99447435140609741,0.060894064605236053
2,M1,16,0.9497104287147522,0.95184087753295898,0.92785501480102539,0.99248027801513672,0.58966821432113647,0.99718755483627319,0.034189213067293167
2,M1,32,0.97365951538085938,0.97535431385040283,0.96266293525695801,0.99621373414993286,0.74398797750473022,0.99858009815216064,0.01835220493376255
2,M1,64,0.98648828268051147,0.98752689361572266,0.98099946975708008,0.99809801578521729,0.85392653942108154,0.99928653240203857,0.0095516489818692207
2,M1,100,0.99126821756362915,0.99198198318481445,0.98776119947433472,0.99878072738647461,0.90151286125183105,0.99954229593276978,0.0062077781185507774
2,M2,1,0.40479874610900879,0.45259112119674683,0.11031129211187363,0.56275379657745361,0.042671684175729752,0.92963337898254395,0.4277060329914093
2,M2,2,0.55388379096984863,0.62570452690124512,0.20133326947689056,0.72391378879547119,0.08752906322479248,0.96573776006698608,0.34168195724487305
2,M2,3,0.6371769905090332,0.7153475284576416,0.27945515513420105,0.79804873466491699,0.13018524646759033,0.97761285305023193,0.28996455669403076
2,M2,5,0.73067688941955566,0.80774927139282227,0.39694708585739136,0.868632972240448,0.20601791143417358,0.9867134690284729,0.22708059847354889
2,M2,8,0.80235612392425537,0.87075197696685791,0.51722168922424316,0.91396051645278931,0.2988397479057312,0.99165862798690796,0.17425438761711121
2,M2,16,0.88182526826858521,0.93096417188644409,0.68418723344802856,0.95505136251449585,0.46631097793579102,0.99581378698348999,0.10974066704511642
2,M2,32,0.93352377414703369,0.96427839994430542,0.81395334005355835,0.97704464197158813,0.63914865255355835,0.99790310859680176,0.063874177634716034
2,M2,64,0.96431994438171387,0.98182117938995361,0.8973546028137207,0.9884037971496582,0.78106266260147095,0.9989505410194397,0.034977618604898453
2,M2,100,0.97651118040084839,0.98829025030136108,0.93192517757415771,0.99255019426345825,0.84822553396224976,0.9993281364440918,0.023207139223814011
