seed,source,k,operator,class,support,recall,d_recall,prediction_flip_rate,mean_l1_to_k1
0,M2,100,late_mean,7,10,0.59999999999999998,-0.099999999999999978,0.10000000000000001,0.40980833768844604
0,M2,100,late_mean,8,32,0.5,-0.1875,0.3125,0.38790422677993774
0,M2,100,late_mean,9,25,0.47999999999999998,-0.35999999999999999,0.40000000000000002,0.3652941882610321
0,M2,100,late_mean,10,49,0.65306122448979587,0.061224489795918324,0.2857142857142857,0.41403642296791077
0,M2,100,late_mean,11,27,0.44444444444444442,0.25925925925925924,0.37037037037037035,0.41598451137542725
0,M1,1,cpsa,0,496,0.967741935483871,0,0,0
0,M1,1,cpsa,1,471,0.97664543524416136,0,0,0
0,M1,1,cpsa,2,420,0.85952380952380958,0,0,0
0,M1,1,cpsa,3,508,0.84842519685039375,0,0,0
0,M1,1,cpsa,4,556,0.89388489208633093,0,0,0
0,M1,1,cpsa,5,545,0.94128440366972477,0,0,0
0,M1,1,cpsa,6,23,0.78260869565217395,0,0,0
0,M1,1,cpsa,7,10,0.69999999999999996,0,0,0
0,M1,1,cpsa,8,32,0.6875,0,0,0
0,M1,1,cpsa,9,25,0.83999999999999997,0,0,0
0,M1,1,cpsa,10,49,0.59183673469387754,0,0,0
0,M1,1,cpsa,11,27,0.18518518518518517,0,0,0
0,M1,5,cpsa,0,496,0.95766129032258063,-0.010080645161290369,0.014112903225806451,0.08690575510263443
0,M1,5,cpsa,1,471,0.9150743099787686,-0.061571125265392768,0.065817409766454352,0.14861728250980377
0,M1,5,cpsa,2,420,0.89523809523809528,0.035714285714285698,0.085714285714285715,0.13980434834957123
0,M1,5,cpsa,3,508,0.75393700787401574,-0.094488188976378007,0.12204724409448819,0.20676273107528687
0,M1,5,cpsa,4,556,0.8920863309352518,-0.0017985611510791255,0.0341726618705036,0.16010624170303345
0,M1,5,cpsa,5,545,0.95779816513761473,0.016513761467889965,0.031192660550458717,0.17184025049209595
0,M1,5,cpsa,6,23,0.78260869565217395,0,0,0.33998668193817139
0,M1,5,cpsa,7,10,0.69999999999999996,0,0.10000000000000001,0.22296610474586487
0,M1,5,cpsa,8,32,0.6875,0,0.03125,0.23852354288101196
0,M1,5,cpsa,9,25,0.83999999999999997,0,0.12,0.24254848062992096
0,M1,5,cpsa,10,49,0.53061224489795922,-0.061224489795918324,0.14285714285714285,0.28006190061569214
0,M1,5,cpsa,11,27,0.037037037037037035,-0.14814814814814814,0.25925925925925924,0.28570848703384399
0,M1,100,cpsa,0,496,0.9536290322580645,-0.014112903225806495,0.022177419354838711,0.12350720912218094
0,M1,100,cpsa,1,471,0.89384288747346075,-0.082802547770700619,0.087048832271762203,0.21850994229316711
0,M1,100,cpsa,2,420,0.88571428571428568,0.026190476190476097,0.10000000000000001,0.21944546699523926
0,M1,100,cpsa,3,508,0.72637795275590555,-0.12204724409448819,0.15354330708661418,0.30027571320533752
0,M1,100,cpsa,4,556,0.89028776978417268,-0.003597122302158251,0.035971223021582732,0.21579156816005707
