split,dataset,seed,source,operator,k,ordering,n,max_linf,mean_abs,pred_changes
grid,MHEALTH,0,M1,cpsa,64,reverse,1987,7.152557373046875e-07,3.066800619512004e-09,0
grid,MHEALTH,0,M1,cpsa,64,shuffle_A,1987,8.940696716308594e-07,4.637489481957929e-09,0
grid,MHEALTH,0,M1,cpsa,64,shuffle_B,1987,7.748603820800781e-07,3.5554852081788954e-09,0
grid,MHEALTH,0,M1,late_product,100,reverse,1987,1.6063451766967773e-05,6.99145648250528e-09,0
grid,MHEALTH,0,M1,late_product,100,shuffle_A,1987,1.0371208190917969e-05,4.449686669010927e-09,0
grid,MHEALTH,0,M1,late_product,100,shuffle_B,1987,1.6063451766967773e-05,7.00413972701961e-09,0
grid,MHEALTH,0,M1,late_mean,100,reverse,1987,1.1920928955078125e-07,3.954488981915202e-09,0
grid,MHEALTH,0,M1,late_mean,100,shuffle_A,1987,1.1920928955078125e-07,1.0711379074674822e-09,0
grid,MHEALTH,0,M1,late_mean,100,shuffle_B,1987,1.1920928955078125e-07,3.873919800026858e-09,0
grid,MHEALTH,0,M1,cpsa,100,reverse,1987,7.152557373046875e-07,3.0993750489668466e-09,0
grid,MHEALTH,0,M1,cpsa,100,shuffle_A,1987,6.556510925292969e-07,4.304209598394805e-09,0
grid,MHEALTH,0,M1,cpsa,100,shuffle_B,1987,7.152557373046875e-07,4.047877115954737e-09,0
grid,MHEALTH,0,M2,late_product,1,reverse,1987,6.556510925292969e-07,1.1066953338722897e-09,0
grid,MHEALTH,0,M2,late_product,1,shuffle_B,1987,0.0,0.0,0
grid,MHEALTH,0,M2,late_mean,1,reverse,1987,1.1920928955078125e-07,2.049471825279337e-09,0
grid,MHEALTH,0,M2,late_mean,1,shuffle_B,1987,1.1920928955078125e-07,1.0808480496941934e-09,0
grid,MHEALTH,0,M2,cpsa,1,reverse,1987,1.7881393432617188e-07,3.050909871037692e-09,0
grid,MHEALTH,0,M2,cpsa,1,shuffle_B,1987,0.0,0.0,0
grid,MHEALTH,0,M2,late_product,2,reverse,1987,1.5497207641601562e-06,1.8811410054957246e-09,0
grid,MHEALTH,0,M2,late_product,2,shuffle_A,1987,9.5367431640625e-07,1.0412661838881166e-09,0
grid,MHEALTH,0,M2,late_product,2,shuffle_B,1987,9.5367431640625e-07,1.1042555119284127e-09,0
grid,MHEALTH,0,M2,late_mean,2,reverse,1987,1.1920928955078125e-07,2.0259230147946705e-09,0
grid,MHEALTH,0,M2,late_mean,2,shuffle_A,1987,1.1920928955078125e-07,1.34582629143008e-09,0
grid,MHEALTH,0,M2,late_mean,2,shuffle_B,1987,1.1920928955078125e-07,8.307894075696947e-10,0
grid,MHEALTH,0,M2,cpsa,2,reverse,1987,1.7881393432617188e-07,3.6403988067202403e-09,0
grid,MHEALTH,0,M2,cpsa,2,shuffle_A,1987,1.7881393432617188e-07,2.650683125602763e-09,0
grid,MHEALTH,0,M2,cpsa,2,shuffle_B,1987,2.384185791015625e-07,2.0476941333057024e-09,0
grid,MHEALTH,0,M2,late_product,3,reverse,1987,5.364418029785156e-07,6.258733268517481e-10,0
grid,MHEALTH,0,M2,late_product,3,shuffle_A,1987,0.0,0.0,0
