seed,object,class,support,recall,precision,f1
1,late_mean,9,25,0.56000000000000005,0.56000000000000005,0.56000000000000005
1,late_mean,10,49,0.53061224489795922,0.65000000000000002,0.5842696629213483
1,late_mean,11,27,0.40740740740740738,0.52380952380952384,0.45833333333333331
1,cpsa,0,496,0.9838709677419355,0.88245931283905965,0.93040991420400387
1,cpsa,1,471,0.92356687898089174,0.91578947368421049,0.91966173361522197
1,cpsa,2,420,0.88809523809523805,0.98677248677248675,0.93483709273182958
1,cpsa,3,508,0.87992125984251968,0.88165680473372776,0.88078817733990145
1,cpsa,4,556,0.88848920863309355,0.88372093023255816,0.88609865470852023
1,cpsa,5,545,0.95963302752293578,0.96851851851851856,0.96405529953917046
1,cpsa,6,23,0.69565217391304346,0.80000000000000004,0.7441860465116279
1,cpsa,7,10,0.90000000000000002,1,0.94736842105263164
1,cpsa,8,32,0.5,0.59259259259259256,0.5423728813559322
1,cpsa,9,25,0.71999999999999997,0.59999999999999998,0.65454545454545465
1,cpsa,10,49,0.61224489795918369,0.65217391304347827,0.63157894736842102
1,cpsa,11,27,0.40740740740740738,0.61111111111111116,0.48888888888888887
2,M1,0,496,0.98790322580645162,0.83050847457627119,0.90239410681399645
2,M1,1,471,0.84925690021231426,0.90909090909090906,0.87815587266739858
2,M1,2,420,0.86190476190476195,0.99178082191780825,0.92229299363057315
2,M1,3,508,0.67322834645669294,0.87692307692307692,0.76169265033407574
2,M1,4,556,0.91546762589928055,0.72507122507122512,0.80922098569157397
2,M1,5,545,0.94311926605504592,1,0.97072710103871584
2,M1,6,23,0.78260869565217395,0.58064516129032262,0.66666666666666674
2,M1,7,10,0.80000000000000004,0.72727272727272729,0.76190476190476197
2,M1,8,32,0.65625,0.67741935483870963,0.66666666666666674
2,M1,9,25,0.80000000000000004,0.54054054054054057,0.64516129032258063
2,M1,10,49,0.55102040816326525,0.72972972972972971,0.62790697674418594
2,M1,11,27,0.37037037037037035,0.7142857142857143,0.48780487804878048
2,M2,0,496,0.74395161290322576,0.92019950124688277,0.82274247491638797
2,M2,1,471,0.89596602972399153,0.90557939914163088,0.90074706510138736
2,M2,2,420,0.90000000000000002,0.72413793103448276,0.80254777070063688
2,M2,3,508,0.70472440944881887,0.68451242829827919,0.69447138700290978
2,M2,4,556,0.82374100719424459,0.76588628762541811,0.79376083188908153
2,M2,5,545,0.66422018348623857,0.74332648870636553,0.70155038759689925
2,M2,6,23,0.60869565217391308,0.53846153846153844,0.57142857142857151
2,M2,7,10,0.29999999999999999,1,0.46153846153846151
2,M2,8,32,0.59375,0.47499999999999998,0.52777777777777779
2,M2,9,25,0.83999999999999997,0.45652173913043476,0.59154929577464788
2,M2,10,49,0.59183673469387754,0.64444444444444449,0.61702127659574468
2,M2,11,27,0.037037037037037035,0.20000000000000001,0.0625
2,late_product,0,496,0.98588709677419351,0.97216699801192841,0.9789789789789789
2,late_product,1,471,0.96390658174097665,0.94190871369294604,0.95278069254984254
