seed,object,subject,n,accuracy,macro_f1,nll,brier,confidence
0,cpsa,4,336,0.94047619047619047,0.81415155090583813,0.21924149990081787,0.10760892927646637,0.85508275032043457
0,cpsa,9,311,0.80707395498392287,0.57586005873832713,0.49371093511581421,0.26636204123497009,0.78675633668899536
0,cpsa,10,306,0.77124183006535951,0.66776292133820736,0.52582395076751709,0.29533165693283081,0.82359182834625244
0,cpsa,12,340,0.94705882352941173,0.75873899700985081,0.19167722761631012,0.088885605335235596,0.88418400287628174
0,cpsa,13,348,0.95977011494252873,0.85376936344767029,0.1739434152841568,0.07516065239906311,0.8902137279510498
0,cpsa,18,403,0.89330024813895781,0.76859548451033533,0.29177170991897583,0.15061873197555542,0.87588775157928467
0,cpsa,20,384,0.87239583333333337,0.72434743495572895,0.31859198212623596,0.16999705135822296,0.82643789052963257
0,cpsa,24,410,0.93902439024390238,0.83963163735023549,0.2278289794921875,0.10053189843893051,0.89481496810913086
1,M1,2,324,0.87037037037037035,0.73913294322843803,0.2855658233165741,0.18976661562919617,0.9534183144569397
1,M1,4,336,0.88690476190476186,0.81098536154478917,0.28469616174697876,0.17063227295875549,0.91516512632369995
1,M1,9,311,0.76527331189710612,0.57741213205664443,0.8569340705871582,0.36855435371398926,0.88868856430053711
1,M1,10,306,0.6797385620915033,0.53924043805149902,1.0326822996139526,0.49920830130577087,0.91841495037078857
1,M1,12,340,0.92352941176470593,0.63541152581433913,0.16921181976795197,0.10493706911802292,0.92703139781951904
1,M1,13,348,0.92528735632183912,0.80102249362291644,0.21040162444114685,0.1084207221865654,0.94499355554580688
1,M1,18,403,0.8982630272952854,0.76017294035560745,0.31417858600616455,0.14491918683052063,0.93546980619430542
1,M1,20,384,0.88802083333333337,0.74801832885570596,0.24674002826213837,0.14223493635654449,0.92126041650772095
1,M1,24,410,0.96341463414634143,0.77231092101471077,0.166855588555336,0.06364034116268158,0.95256125926971436
1,M2,2,324,0.80246913580246915,0.58719150941168152,0.47483161091804504,0.27187949419021606,0.84278398752212524
1,M2,4,336,0.77380952380952384,0.62051322416694066,0.56071817874908447,0.30969014763832092,0.8176378607749939
1,M2,9,311,0.63344051446945338,0.46477169473110147,0.96632897853851318,0.52189147472381592,0.76889181137084961
1,M2,10,306,0.70261437908496727,0.62994984095970763,0.97761446237564087,0.46839305758476257,0.81952387094497681
1,M2,12,340,0.80588235294117649,0.70783059162269835,0.48985794186592102,0.26793229579925537,0.80012547969818115
1,M2,13,348,0.81321839080459768,0.66706349033211565,0.4984736442565918,0.25058525800704956,0.83681303262710571
1,M2,18,403,0.78163771712158814,0.71188969312197459,0.51617175340652466,0.29985770583152771,0.81455534696578979
1,M2,20,384,0.69270833333333337,0.566179011717867,0.79285198450088501,0.41768121719360352,0.79354268312454224
1,M2,24,410,0.85365853658536583,0.72887410575813927,0.49545904994010925,0.246334508061409,0.82140421867370605
1,late_product,2,324,0.96296296296296291,0.7900654413812308,0.075974926352500916,0.044763222336769104,0.9639815092086792
1,late_product,4,336,0.9464285714285714,0.86308774878550765,0.13761541247367859,0.081652171909809113,0.95922505855560303
1,late_product,9,311,0.85209003215434087,0.6192158175143665,0.43584391474723816,0.22834905982017517,0.94303357601165771
1,late_product,10,306,0.83660130718954251,0.6330102292909453,0.53028905391693115,0.25817865133285522,0.93026494979858398
1,late_product,12,340,0.95294117647058818,0.71364738078437828,0.14337056875228882,0.07029058039188385,0.96986091136932373
1,late_product,13,348,0.97413793103448276,0.8792104438656162,0.11890945583581924,0.038861185312271118,0.97525167465209961
1,late_product,18,403,0.9330024813895782,0.79621769477946847,0.2552352249622345,0.10678884387016296,0.96125268936157227
1,late_product,20,384,0.9375,0.78674030003454887,0.16486600041389465,0.08499801903963089,0.95738917589187622
1,late_product,24,410,0.97317073170731705,0.81792046337500868,0.16025309264659882,0.042950049042701721,0.97675663232803345
1,late_mean,2,324,0.95061728395061729,0.79002794262136711,0.24975432455539703,0.13412195444107056,0.81847822666168213
1,late_mean,4,336,0.93154761904761907,0.83756413385754902,0.29837125539779663,0.15963779389858246,0.80179798603057861
1,late_mean,9,311,0.797427652733119,0.58575786326471779,0.54811632633209229,0.3063923716545105,0.71118760108947754
1,late_mean,10,306,0.79084967320261434,0.60947101640701729,0.56022185087203979,0.31744804978370667,0.72151446342468262
1,late_mean,12,340,0.94411764705882351,0.68085969832328352,0.25081360340118408,0.12477079033851624,0.82662802934646606
1,late_mean,13,348,0.97126436781609193,0.87204021881275995,0.22496303915977478,0.11010953783988953,0.84014803171157837
1,late_mean,18,403,0.9330024813895782,0.79653880365790553,0.2906821072101593,0.15003660321235657,0.82195937633514404
1,late_mean,20,384,0.91927083333333337,0.73544207370405212,0.34617829322814941,0.17635822296142578,0.77547073364257812
1,late_mean,24,410,0.96829268292682924,0.7792478237393492,0.24502722918987274,0.099219962954521179,0.84947556257247925
1,cpsa,2,324,0.95679012345679015,0.79369521188341408,0.1748083084821701,0.08469805121421814,0.87819910049438477
1,cpsa,4,336,0.91369047619047616,0.82609727928576682,0.24427331984043121,0.12921226024627686,0.85654741525650024
1,cpsa,9,311,0.78456591639871387,0.57861587925524194,0.47489753365516663,0.26450061798095703,0.8022807240486145
1,cpsa,10,306,0.79084967320261434,0.69811110123036724,0.49795234203338623,0.27291181683540344,0.81517678499221802
1,cpsa,12,340,0.94999999999999996,0.71222559468517288,0.1945757269859314,0.094380363821983337,0.88244611024856567
1,cpsa,13,348,0.93965517241379315,0.86049485431344674,0.19838911294937134,0.094983860850334167,0.879669189453125
1,cpsa,18,403,0.91563275434243174,0.76743435992686926,0.24492447078227997,0.12630464136600494,0.88681489229202271
1,cpsa,20,384,0.91927083333333337,0.76096561883991809,0.26207318902015686,0.12391215562820435,0.85425728559494019
1,cpsa,24,410,0.93902439024390238,0.83630977608250345,0.22452504932880402,0.095960810780525208,0.88817286491394043
2,M1,2,324,0.85493827160493829,0.68475903848710862,0.35972481966018677,0.22249247133731842,0.95946133136749268
2,M1,4,336,0.88095238095238093,0.81985200039425321,0.2996361255645752,0.17129591107368469,0.92135846614837646
2,M1,9,311,0.74598070739549838,0.66901594426465083,0.90775036811828613,0.37732765078544617,0.87915891408920288
2,M1,10,306,0.6797385620915033,0.52806875333693926,1.1553521156311035,0.5276448130607605,0.93379223346710205
2,M1,12,340,0.9088235294117647,0.70262769478263065,0.19816155731678009,0.12850463390350342,0.91805410385131836
2,M1,13,348,0.90517241379310343,0.84105829363922113,0.27304410934448242,0.13765440881252289,0.93977224826812744
2,M1,18,403,0.87096774193548387,0.7681312786624418,0.39408060908317566,0.18264077603816986,0.93406051397323608
2,M1,20,384,0.88020833333333337,0.76510099482422522,0.27124035358428955,0.15929095447063446,0.91880702972412109
2,M1,24,410,0.96341463414634143,0.83125371833897066,0.17982169985771179,0.068284548819065094,0.94795531034469604
2,M2,2,324,0.8271604938271605,0.60245475278386684,0.42914599180221558,0.2349688857793808,0.8351360559463501
2,M2,4,336,0.8035714285714286,0.55468195385579067,0.52891850471496582,0.26940986514091492,0.80624717473983765
2,M2,9,311,0.59163987138263663,0.46261478108946202,1.1397607326507568,0.60488128662109375,0.76409751176834106
2,M2,10,306,0.69934640522875813,0.60287726387501139,0.94838219881057739,0.45550337433815002,0.81443756818771362
2,M2,12,340,0.78235294117647058,0.66602386954678972,0.52016890048980713,0.29410260915756226,0.80659127235412598
2,M2,13,348,0.82183908045977017,0.65739914957678358,0.55761563777923584,0.27014172077178955,0.82908457517623901
2,M2,18,403,0.80893300248138955,0.73186303521127749,0.46868741512298584,0.26581040024757385,0.80454862117767334
2,M2,20,384,0.6953125,0.53950644263144254,0.77971839904785156,0.4113917350769043,0.78737550973892212
2,M2,24,410,0.86097560975609755,0.73784683414922769,0.45253065228462219,0.22003966569900513,0.81257921457290649
2,late_product,2,324,0.93827160493827155,0.72599211488100368,0.15048186480998993,0.086769737303256989,0.96188551187515259
2,late_product,4,336,0.95833333333333337,0.84499796999797006,0.11345027387142181,0.065741002559661865,0.96239989995956421
2,late_product,9,311,0.84887459807073951,0.70860016335863985,0.44251155853271484,0.23866014182567596,0.92741721868515015
2,late_product,10,306,0.79738562091503273,0.70216667912492714,0.69325697422027588,0.3259732723236084,0.95207524299621582
2,late_product,12,340,0.92647058823529416,0.70014858021950832,0.17520482838153839,0.10518371313810349,0.95911723375320435
2,late_product,13,348,0.97701149425287359,0.90112333764691044,0.11456456780433655,0.037855971604585648,0.97835445404052734
2,late_product,18,403,0.92555831265508681,0.79264763617930833,0.29333284497261047,0.12247162312269211,0.96166491508483887
2,late_product,20,384,0.9296875,0.74388888797626107,0.2013556957244873,0.10670441389083862,0.9558447003364563
2,late_product,24,410,0.96097560975609753,0.80662312524803259,0.17995429039001465,0.052280168980360031,0.97747677564620972
2,late_mean,2,324,0.9228395061728395,0.7137381916329284,0.25960096716880798,0.14137648046016693,0.82599741220474243
2,late_mean,4,336,0.94345238095238093,0.81938520909424994,0.27941623330116272,0.14311614632606506,0.80793642997741699
2,late_mean,9,311,0.78778135048231512,0.6999647962142439,0.58703529834747314,0.33416223526000977,0.68116480112075806
2,late_mean,10,306,0.78104575163398693,0.68617830501704258,0.57619941234588623,0.32446035742759705,0.72921890020370483
2,late_mean,12,340,0.93529411764705883,0.75269310585490912,0.27602678537368774,0.14535447955131531,0.81739205121994019
2,late_mean,13,348,0.97126436781609193,0.89524620409966771,0.24569480121135712,0.11946990340948105,0.82141572237014771
2,late_mean,18,403,0.91315136476426795,0.78434281634399461,0.30579927563667297,0.15789249539375305,0.8230552077293396
2,late_mean,20,384,0.91145833333333337,0.74361869457737828,0.36027765274047852,0.18482302129268646,0.77442580461502075
2,late_mean,24,410,0.96341463414634143,0.80821393801984487,0.24653533101081848,0.095267139375209808,0.8503645658493042
2,cpsa,2,324,0.94444444444444442,0.75234980129292506,0.19274911284446716,0.091991260647773743,0.88646650314331055
2,cpsa,4,336,0.9196428571428571,0.82990023546232383,0.26115494966506958,0.13793675601482391,0.86252540349960327
2,cpsa,9,311,0.7588424437299035,0.64594410117506929,0.63584482669830322,0.36518728733062744,0.80008524656295776
2,cpsa,10,306,0.77777777777777779,0.60084184835797116,0.514271080493927,0.29347333312034607,0.83627122640609741
2,cpsa,12,340,0.92941176470588238,0.72220429715470968,0.21457579731941223,0.11238683760166168,0.87201607227325439
2,cpsa,13,348,0.94252873563218387,0.85030603585371745,0.2037801593542099,0.096667923033237457,0.88185769319534302
2,cpsa,18,403,0.90074441687344908,0.77486472129841433,0.25868424773216248,0.13252227008342743,0.87549698352813721
2,cpsa,20,384,0.9140625,0.72361236770624193,0.28726467490196228,0.14113743603229523,0.84388870000839233
2,cpsa,24,410,0.92926829268292688,0.78663441723226768,0.23997971415519714,0.10412205010652542,0.89218300580978394
