dataset,seed,source,operator,k,reproduced_mean_l1,frozen_mean_l1,abs_discrepancy
MHEALTH,1,M2,late_product,100,0.6204746448696754,0.620474636554718,8.314957389288224e-09
MHEALTH,1,M2,late_mean,100,0.5611330803888065,0.561133086681366,6.292559473486392e-09
MHEALTH,1,M2,cpsa,100,0.5995712573556992,0.5995712876319885,3.0276289364472575e-08
MHEALTH,1,M3,late_product,2,0.09313689745624389,0.09313689917325974,1.7170158489454579e-09
MHEALTH,1,M3,late_mean,2,0.1452734939714373,0.14527350664138794,1.2669950644195183e-08
MHEALTH,1,M3,cpsa,2,0.25283023225095264,0.25283023715019226,4.8992396251001935e-09
MHEALTH,1,M3,late_product,5,0.21047561318260025,0.2104756087064743,4.476125942121101e-09
MHEALTH,1,M3,late_mean,5,0.33205369966754217,0.33205369114875793,8.518784233579879e-09
MHEALTH,1,M3,cpsa,5,0.4630923737388793,0.4630923867225647,1.2983685404588385e-08
MHEALTH,1,M3,late_product,16,0.366668596062714,0.36666858196258545,1.4100128564731307e-08
MHEALTH,1,M3,late_mean,16,0.48424498971732255,0.4842449724674225,1.724990006390925e-08
MHEALTH,1,M3,cpsa,16,0.5241617291436644,0.5241617560386658,2.6895001337123858e-08
MHEALTH,1,M3,late_product,100,0.5311129299217495,0.5311129689216614,3.899991185551954e-08
MHEALTH,1,M3,late_mean,100,0.5640029824126458,0.5640029311180115,5.1294634317855525e-08
MHEALTH,1,M3,cpsa,100,0.5369532699382696,0.5369532704353333,4.970636124923544e-10
MHEALTH,2,M1,late_product,2,0.13130950459488483,0.13130950927734375,4.6824589206018175e-09
MHEALTH,2,M1,late_mean,2,0.11723146261466887,0.11723146587610245,3.2614335815361883e-09
MHEALTH,2,M1,cpsa,2,0.18532157291558468,0.18532156944274902,3.472835657936102e-09
MHEALTH,2,M1,late_product,5,0.19226655332872875,0.1922665685415268,1.5212798049057952e-08
MHEALTH,2,M1,late_mean,5,0.26795762949552715,0.2679576277732849,1.7222422377116686e-09
MHEALTH,2,M1,cpsa,5,0.3614272551459411,0.36142727732658386,2.2180642766933545e-08
MHEALTH,2,M1,late_product,16,0.2549205356846024,0.2549205422401428,6.555540443820007e-09
MHEALTH,2,M1,late_mean,16,0.3907715435619357,0.3907715380191803,5.5427554213061114e-09
MHEALTH,2,M1,cpsa,16,0.4175043752693193,0.41750437021255493,5.056764396105251e-09
MHEALTH,2,M1,late_product,100,0.3186227137730091,0.3186227083206177,5.452391427240855e-09
MHEALTH,2,M1,late_mean,100,0.45513385122180416,0.455133855342865,4.1210608259234505e-09
MHEALTH,2,M1,cpsa,100,0.4300087231868944,0.4300087094306946,1.3756199845893491e-08
MHEALTH,2,M2,late_product,2,0.19838223571189562,0.19838224351406097,7.802165358228308e-09
MHEALTH,2,M2,late_mean,2,0.139390185662112,0.13939018547534943,1.8676257762528792e-10
MHEALTH,2,M2,cpsa,2,0.21527166911234857,0.21527166664600372,2.4663448505712893e-09
MHEALTH,2,M2,late_product,5,0.4859948759598484,0.4859948754310608,5.287876247983547e-10
MHEALTH,2,M2,late_mean,5,0.31860613916921754,0.3186061680316925,2.886247496558525e-08
MHEALTH,2,M2,cpsa,5,0.46144129191089045,0.461441308259964,1.6349073539423387e-08
MHEALTH,2,M2,late_product,16,0.6120802957989088,0.6120802760124207,1.978648811462591e-08
MHEALTH,2,M2,late_mean,16,0.46463395917528155,0.4646339416503906,1.75248909273229e-08
MHEALTH,2,M2,cpsa,16,0.5393342325960983,0.5393341779708862,5.462521202037607e-08
MHEALTH,2,M2,late_product,100,0.6411253114700115,0.6411253213882446,9.918233123684672e-09
MHEALTH,2,M2,late_mean,100,0.5411617896935256,0.5411617755889893,1.4104536316672522e-08
MHEALTH,2,M2,cpsa,100,0.5545209479238185,0.5545209646224976,1.6698679106141867e-08
MHEALTH,2,M3,late_product,2,0.043296902984484575,0.04329690337181091,3.8732633766969116e-10
MHEALTH,2,M3,late_mean,2,0.13417931154566762,0.13417930901050568,2.5351619414859528e-09
MHEALTH,2,M3,cpsa,2,0.20732987790281449,0.2073298841714859,6.268671415288196e-09
MHEALTH,2,M3,late_product,5,0.1679970050504958,0.16799700260162354,2.448872271632041e-09
