dataset,seed,source,operator,k,eta,n_test,n_boundary_degenerate,frac_boundary_degenerate,mean_l1_exact_vs_clean,max_l1_exact_vs_clean,mean_l1_near_vs_clean,max_l1_near_vs_clean,mean_l1_near_vs_exact,max_l1_near_vs_exact,flip_rate_near_vs_clean,flip_count_near_vs_clean,flip_rate_near_vs_exact,flip_count_near_vs_exact,mean_single_copy_l1,mean_maxdir_single_copy_l1,max_maxdir_single_copy_l1,mean_token_l1_to_p,max_token_l1_to_p,frac_token_l1_ge_90pct_eta,movement_ratio,trajectory_error_ratio
MHEALTH,0,M2,late_mean,2,0.05,1987,0,0.0,0.13358603448612746,0.3333188859617109,0.13358603443738185,0.3333188859617109,4.874562041268735e-11,2.9802322387695312e-08,0.16305988928032208,324,0.0,0,0.006306059434694748,0.006306069334546418,0.01666674017906189,0.018918183299845296,0.05,0.30598892803220934,0.9999999996350994,3.6490057213090975e-10
MHEALTH,0,M2,cpsa,2,0.05,1987,0,0.0,0.20529789328006964,0.7047879585151013,0.20485242197917455,0.7048118809705,0.0006132926941716884,0.010995130667356356,0.1545042778057373,307,0.0,0,0.0069841572701254155,0.007110602143529604,0.044852294605303586,0.018918183299845296,0.05,0.30598892803220934,0.9978301223954238,0.002987330675308138
MHEALTH,0,M2,late_product,3,0.01,1987,0,0.0,0.27019365142331225,1.9999997354524717,0.27020244116783576,1.9999998181005467,3.7947904035427926e-05,0.024140064670803842,0.13437342727730248,267,0.0,0,0.009494824238228037,0.012956858842561475,1.023322528258896,0.005024355739398024,0.01,0.431806743834927,1.00003253127702,0.00014044706023079337
MHEALTH,0,M2,late_mean,3,0.01,1987,0,0.0,0.21373765622051086,0.5333101699961245,0.2137376554267954,0.5333101699961245,1.1314867615798958e-09,5.960464477539063e-08,0.24106693507800706,479,0.0,0,0.001674784123278417,0.0016747911691933853,0.0033333897590637207,0.005024355739398024,0.01,0.431806743834927,0.9999999962864968,5.2938110279105564e-09
MHEALTH,0,M2,cpsa,3,0.01,1987,0,0.0,0.32013776870588995,1.09622419019896,0.32011722011145705,1.0962241011608,3.0015932634836526e-05,0.0008142068946030978,0.23049823855057877,458,0.0,0,0.0020321879497936196,0.0020408127237727183,0.009543673170645306,0.005024355739398024,0.01,0.431806743834927,0.9999358132765279,9.375942350123679e-05
MHEALTH,0,M2,late_product,3,0.05,1987,0,0.0,0.27019365142331225,1.9999997354524717,0.2703870395695693,1.9999997860449459,0.0003980464331386723,0.11949397425750463,0.1338701560140916,266,0.0005032712632108706,1,0.013596570068566495,0.01898793330543798,1.042837867508931,0.018918183299845296,0.05,0.30598892803220934,1.0007157390458226,0.0014731894366942515
MHEALTH,0,M2,late_mean,3,0.05,1987,0,0.0,0.21373765622051086,0.5333101699961245,0.21373765608368953,0.5333101699961245,1.050165942910653e-09,8.940696716308594e-08,0.24106693507800706,479,0.0,0,0.006306059434694748,0.006306069334546418,0.01666674017906189,0.018918183299845296,0.05,0.30598892803220934,0.9999999993598633,4.913340781781606e-09
MHEALTH,0,M2,cpsa,3,0.05,1987,0,0.0,0.32013776870588995,1.09622419019896,0.3197596170922069,1.0962241011608,0.0004955324250876557,0.008241859154470843,0.23049823855057877,458,0.0,0,0.0069841572701254155,0.007110602143529604,0.044852294605303586,0.018918183299845296,0.05,0.30598892803220934,0.9988187847525406,0.0015478724272077395
MHEALTH,0,M2,late_product,5,0.01,1987,0,0.0,0.3738383343333722,2.0000001083228116,0.3738412169981845,2.0000001083228147,4.225450085796711e-06,0.001781463623046878,0.18570709612481126,369,0.0,0,0.009494824238228037,0.012956858842561475,1.023322528258896,0.005024355739398024,0.01,0.431806743834927,1.0000077109930885,1.1302880677904596e-05
MHEALTH,0,M2,late_mean,5,0.01,1987,0,0.0,0.30533950677212873,0.7618717655232263,0.3053395080202093,0.7618717655232263,9.645897864269204e-09,1.1920928955078125e-07,0.24660291897332662,490,0.0,0,0.001674784123278417,0.0016747911691933853,0.0033333897590637207,0.005024355739398024,0.01,0.431806743834927,1.0000000040875174,3.1590729828052756e-08
MHEALTH,0,M2,cpsa,5,0.01,1987,0,0.0,0.4239226581834308,1.3963822993597717,0.4238998571080847,1.3963827212510935,3.1421207042061124e-05,0.0008358386515167071,0.2682435832913941,533,0.0,0,0.0020321879497936196,0.0020408127237727183,0.009543673170645306,0.005024355739398024,0.01,0.431806743834927,0.9999462140678118,7.412014063297653e-05
MHEALTH,0,M2,late_product,5,0.05,1987,0,0.0,0.3738383343333722,2.0000001083228116,0.37391349619705216,2.0000001083228147,0.00010156184516394953,0.04617416858673104,0.18570709612481126,369,0.0,0,0.013596570068566495,0.01898793330543798,1.042837867508931,0.018918183299845296,0.05,0.30598892803220934,1.0002010544579758,0.0002716731694866296
MHEALTH,0,M2,late_mean,5,0.05,1987,0,0.0,0.30533950677212873,0.7618717655232263,0.30533950713622626,0.7618717655232263,8.345233473449902e-09,1.1920928955078125e-07,0.24660291897332662,490,0.0,0,0.006306059434694748,0.006306069334546418,0.01666674017906189,0.018918183299845296,0.05,0.30598892803220934,1.000000001192435,2.7330998080369114e-08
MHEALTH,0,M2,cpsa,5,0.05,1987,0,0.0,0.4239226581834308,1.3963822993597717,0.423494662931198,1.3963952642400912,0.0005491058236703201,0.00743798422491615,0.2682435832913941,533,0.0,0,0.0069841572701254155,0.007110602143529604,0.044852294605303586,0.018918183299845296,0.05,0.30598892803220934,0.9989903930729562,0.001295297179969849
MHEALTH,0,M2,late_product,8,0.01,1987,0,0.0,0.40082345047792295,2.000000108322822,0.40098504148152936,2.000000108322822,0.00016217732533231258,0.01089969277381897,0.19828887770508305,394,0.0005032712632108706,1,0.009494824238228037,0.012956858842561475,1.023322528258896,0.005024355739398024,0.01,0.431806743834927,1.0004031475788497,0.0004046103718206607
MHEALTH,0,M2,late_mean,8,0.01,1987,0,0.0,0.37404089971255616,0.933292857265487,0.37404090094415654,0.933292857265487,3.2534755816128346e-08,1.341104507446289e-07,0.24911927528938096,495,0.0,0,0.001674784123278417,0.0016747911691933853,0.0033333897590637207,0.005024355739398024,0.01,0.431806743834927,1.000000003292689,8.698181359613542e-08
MHEALTH,0,M2,cpsa,8,0.01,1987,0,0.0,0.47809259465452647,1.5257828951634362,0.4780662172244561,1.5257829937383374,3.5106577428581755e-05,0.0007965066492668926,0.27075993960744843,538,0.0,0,0.0020321879497936196,0.0020408127237727183,0.009543673170645306,0.005024355739398024,0.01,0.431806743834927,0.9999448277794609,7.343049823633024e-05
MHEALTH,0,M2,late_product,8,0.05,1987,0,0.0,0.40082345047792295,2.000000108322822,0.40488471109634044,2.0000001365043887,0.0040759200767595104,0.2774512767791748,0.20181177654755914,401,0.004026170105686965,8,0.013596570068566495,0.01898793330543798,1.042837867508931,0.018918183299845296,0.05,0.30598892803220934,1.010132292942379,0.010168866297367522
MHEALTH,0,M2,late_mean,8,0.05,1987,0,0.0,0.37404089971255616,0.933292857265487,0.3740409017929865,0.9332929168701318,2.635062393415722e-08,1.2665987014770508e-07,0.24911927528938096,495,0.0,0,0.006306059434694748,0.006306069334546418,0.01666674017906189,0.018918183299845296,0.05,0.30598892803220934,1.0000000055620397,7.044850965337536e-08
MHEALTH,0,M2,cpsa,8,0.05,1987,0,0.0,0.47809259465452647,1.5257828951634362,0.47759868058583194,1.5257829937383374,0.0006317879322190207,0.006617111195424297,0.27075993960744843,538,0.0,0,0.0069841572701254155,0.007110602143529604,0.044852294605303586,0.018918183299845296,0.05,0.30598892803220934,0.9989669070924401,0.0013214760891152387
MHEALTH,0,M2,late_product,16,0.01,1987,0,0.0,0.4553481926322588,2.000000108322822,0.4553589598127276,2.000000108322822,1.1093360164537424e-05,0.0013636648654937744,0.2244589833920483,446,0.0,0,0.009494824238228037,0.012956858842561475,1.023322528258896,0.005024355739398024,0.01,0.431806743834927,1.0000236460375664,2.4362367840771184e-05
