dataset,seed,source,operator,eta,n_test,n_boundary_degenerate,frac_boundary_degenerate,mean_single_copy_l1,mean_maxdir_single_copy_l1,max_maxdir_single_copy_l1
HAPT,2,M1,late_mean,0.01,3162,0,0.0,0.002905820475426142,0.002905838021755739,0.005000069737434387
HAPT,2,M1,cpsa,0.01,3162,0,0.0,0.003897139940112838,0.00390705587878125,0.01700850868737469
HAPT,2,M1,late_product,0.05,3162,0,0.0,0.017613951466978115,0.021104013496521676,1.0437540210002427
HAPT,2,M1,late_mean,0.05,3162,0,0.0,0.010786216240674655,0.010786233537523122,0.025000065565109253
HAPT,2,M1,cpsa,0.05,3162,0,0.0,0.013968958622565782,0.014147501011411753,0.08583935198856962
HAPT,2,M2,late_product,0.01,3162,0,0.0,0.0022561137405005586,0.0024388527671725265,0.39307339486958764
HAPT,2,M2,late_mean,0.01,3162,0,0.0,0.00453061671033509,0.004530637383455131,0.005000084638595581
HAPT,2,M2,cpsa,0.01,3162,0,0.0,0.004145039350363036,0.0041731986430157695,0.024538538837944213
HAPT,2,M2,late_product,0.05,3162,0,0.0,0.009424725810283504,0.011062973663541364,1.0136231755377119
HAPT,2,M2,late_mean,0.05,3162,0,0.0,0.020163566087293864,0.02016358613049822,0.025000065565109253
HAPT,2,M2,cpsa,0.05,3162,0,0.0,0.01823716141420432,0.01884768790635276,0.1253887184526855
