seed,source,k,attn_mean,attn_median,attn_p10,attn_p90,attn_min,attn_max,mean_l1_to_pj
0,M3,3,0.65326642990112305,0.61912894248962402,0.57399201393127441,0.79603457450866699,0.31757193803787231,0.93325400352478027,0.25136083364486694
0,M3,5,0.77720761299133301,0.76226794719696045,0.71078246831893921,0.90400683879852295,0.52069765329360962,0.971812903881073,0.14132170379161835
0,M3,8,0.85681456327438354,0.8502156138420105,0.79980313777923584,0.95054596662521362,0.69116371870040894,0.98641252517700195,0.080005362629890442
0,M3,16,0.92712962627410889,0.92617493867874146,0.8888886570930481,0.98016029596328735,0.84780538082122803,0.995319664478302,0.035019181668758392
0,M3,32,0.96328741312026978,0.96386748552322388,0.9411766529083252,0.99121594429016113,0.92535346746444702,0.99811041355133057,0.016046708449721336
0,M3,64,0.98157775402069092,0.98218637704849243,0.96969705820083618,0.99590188264846802,0.96334302425384521,0.99915516376495361,0.0076354276388883591
0,M3,100,0.98819500207901001,0.98872047662734985,0.98039227724075317,0.99745070934295654,0.97672361135482788,0.9994816780090332,0.0047955997288227081
1,M1,1,0.34008726477622986,0.33329629898071289,0.16175366938114166,0.52062314748764038,0.02558639831840992,0.70314747095108032,0.48836615681648254
1,M1,2,0.55345547199249268,0.50418257713317871,0.39454737305641174,0.77302676439285278,0.14141964912414551,0.91739034652709961,0.28007987141609192
1,M1,3,0.67368960380554199,0.62177997827529907,0.56331348419189453,0.87622714042663574,0.33136826753616333,0.96901905536651611,0.17757663130760193
1,M1,5,0.79486459493637085,0.7577584981918335,0.71230399608612061,0.96034431457519531,0.59026157855987549,0.99077475070953369,0.089768096804618835
1,M1,8,0.87035560607910156,0.85467761754989624,0.80003315210342407,0.98486381769180298,0.73967808485031128,0.99658596515655518,0.04617706686258316
1,M1,16,0.93473851680755615,0.93533897399902344,0.88893216848373413,0.99551147222518921,0.87592989206314087,0.99898010492324829,0.018345210701227188
1,M1,32,0.9672006368637085,0.96834981441497803,0.94121140241622925,0.9983217716217041,0.940440833568573,0.99962174892425537,0.0080092018470168114
1,M1,64,0.98355084657669067,0.98417580127716064,0.96972393989562988,0.99928438663482666,0.9695199728012085,0.99983930587768555,0.0037266546860337257
1,M1,100,0.9894677996635437,0.9898877739906311,0.98041433095932007,0.9995684027671814,0.98032885789871216,0.99990344047546387,0.0023225820623338223
1,M2,1,0.31034794449806213,0.33334016799926758,0.12142761796712875,0.46961268782615662,0.026308173313736916,0.63692730665206909,0.60202610492706299
1,M2,2,0.53876626491546631,0.50315612554550171,0.39413103461265564,0.7012251615524292,0.1199551448225975,0.90013700723648071,0.35243856906890869
1,M2,3,0.6718289852142334,0.63341915607452393,0.58018511533737183,0.86012226343154907,0.28134053945541382,0.96512711048126221,0.21643111109733582
1,M2,5,0.79927867650985718,0.77454298734664917,0.71429431438446045,0.94718450307846069,0.60296106338500977,0.99021726846694946,0.10435687750577927
1,M2,8,0.87473893165588379,0.85965323448181152,0.80017900466918945,0.97744518518447876,0.76564544439315796,0.99651944637298584,0.052121195942163467
1,M2,16,0.93740642070770264,0.93567508459091187,0.88903045654296875,0.99281114339828491,0.88412827253341675,0.99901342391967773,0.020113306120038033
1,M2,32,0.96862298250198364,0.96875399351119995,0.94126063585281372,0.99729937314987183,0.94106316566467285,0.99964654445648193,0.0086125209927558899
1,M2,64,0.98427599668502808,0.98443996906280518,0.96974319219589233,0.99883699417114258,0.96969693899154663,0.99985265731811523,0.0039639300666749477
1,M2,100,0.98992794752120972,0.99002045392990112,0.98042279481887817,0.99929577112197876,0.98039227724075317,0.9999118447303772,0.0024600683245807886
1,M3,1,0.34956476092338562,0.33496370911598206,0.16535060107707977,0.50941264629364014,0.02881680428981781,0.59650349617004395,0.53879463672637939
1,M3,2,0.5836217999458313,0.52621430158615112,0.45574811100959778,0.8209267258644104,0.12496781349182129,0.89867538213729858,0.28620198369026184
1,M3,3,0.70833808183670044,0.66996639966964722,0.59985339641571045,0.92351901531219482,0.27092072367668152,0.9651762843132019,0.16600914299488068
1,M3,5,0.82169967889785767,0.81194460391998291,0.71429580450057983,0.97433948516845703,0.53142434358596802,0.99058628082275391,0.075905874371528625
1,M3,8,0.88726937770843506,0.88331133127212524,0.80008411407470703,0.98984372615814209,0.73588353395462036,0.99658352136611938,0.037522681057453156
1,M3,16,0.94269782304763794,0.93992131948471069,0.88902169466018677,0.99680888652801514,0.8843262791633606,0.99899953603744507,0.01472584530711174
1,M3,32,0.97101974487304688,0.96966469287872314,0.94126558303833008,0.99876755475997925,0.94081676006317139,0.99963247776031494,0.0064194155856966972
1,M3,64,0.98541742563247681,0.9848867654800415,0.96974903345108032,0.99946427345275879,0.96958863735198975,0.99984467029571533,0.0029844166710972786
1,M3,100,0.99064576625823975,0.99036478996276855,0.98042720556259155,0.99967366456985474,0.98033612966537476,0.99990683794021606,0.0018591789994388819
2,M1,1,0.34477588534355164,0.33391392230987549,0.17731066048145294,0.47527119517326355,0.07500159740447998,0.72316020727157593,0.43186670541763306
