seed,source,k,operator,n_tokens,accuracy,ece,nll,brier,confidence,conf_acc_gap,entropy,d_accuracy,d_ece,d_nll,d_brier,d_confidence,mean_l1_to_k1,prediction_flip_rate,mean_l1_to_pj,source_top_class_agreement,unique_source_argmax_frac,n
0,M2,100,late_mean,102,0.72974333165576244,0.20748497324489026,1.1509814262390137,0.4829125702381134,0.91085797548294067,0.18111464382717823,0.23818086087703705,-0.14242576748867641,0.065242924744841696,0.64938932657241821,0.24967993795871735,0.16576367616653442,0.51862823963165283,0.25415198792148969,0.015716010704636574,1,1,1987
0,M3,1,late_mean,3,0.87216909914443885,0.14224204850004857,0.50159209966659546,0.23323263227939606,0.74509429931640625,-0.1270747998280326,0.56971961259841919,0,0,0,0,0,0,0,0.56881719827651978,0.70457976849521897,1,1987
0,M3,2,late_mean,4,0.84801207851031701,0.10287479799058968,0.48528441786766052,0.21948228776454926,0.76201415061950684,-0.085997927890810177,0.5546758770942688,-0.02415702063412184,-0.039367250509458884,-0.016307681798934937,-0.013750344514846802,0.016919851303100586,0.14220429956912994,0.19728233517866131,0.42661288380622864,0.9018621036738802,1,1987
0,M3,3,late_mean,5,0.83190739808756919,0.087188654844042146,0.49006620049476624,0.22496551275253296,0.78891605138778687,-0.042991346699782329,0.52616077661514282,-0.040261701056869659,-0.055053393656006422,-0.011525899171829224,-0.0082671195268630981,0.043821752071380615,0.22752688825130463,0.22546552591847005,0.34129032492637634,0.93004529441368899,1,1987
0,M3,5,late_mean,7,0.81882234524408659,0.10404280174540467,0.51132965087890625,0.2438444197177887,0.82309365272521973,0.0042713074811331353,0.47464662790298462,-0.053346753900352262,-0.038199246754643895,0.009737551212310791,0.010611787438392639,0.077999353408813477,0.32503840327262878,0.24559637644690488,0.24377879500389099,0.95017614494212377,1,1987
0,M3,8,late_mean,10,0.79768495218922997,0.099555026557977072,0.54356580972671509,0.26683226227760315,0.85087382793426514,0.053188875745035169,0.42070424556732178,-0.074484146955208885,-0.042687021942071496,0.041973710060119629,0.033599629998207092,0.10577952861785889,0.3981720507144928,0.26874685455460495,0.17064516246318817,0.97332662304982387,1,1987
0,M3,16,late_mean,18,0.77805737292400601,0.12393655854070611,0.60587692260742188,0.29866445064544678,0.88232004642486572,0.10426267350085971,0.34666174650192261,-0.094111726220432845,-0.018305489959342461,0.10428482294082642,0.06543181836605072,0.13722574710845947,0.47401434183120728,0.28988424760946152,0.094802863895893097,0.99446401610468038,1,1987
0,M3,32,late_mean,34,0.77453447408152998,0.12691447888718937,0.67658466100692749,0.32119095325469971,0.90144890546798706,0.12691443138645708,0.29045933485031128,-0.097634625062908875,-0.015327569612859193,0.17499256134033203,0.08795832097530365,0.15635460615158081,0.51862740516662598,0.29441368897835934,0.050189770758152008,0.99899345747357826,1,1987
0,M3,64,late_mean,66,0.77453447408152998,0.13741578358948744,0.74842655658721924,0.33466506004333496,0.91195023059844971,0.13741575651691973,0.25316429138183594,-0.097634625062908875,-0.0048262649105611233,0.24683445692062378,0.1014324277639389,0.16685593128204346,0.54296189546585083,0.29491696024157021,0.025855358690023422,0.99949672873678908,1,1987
0,M3,100,late_mean,102,0.77453447408152998,0.141358512622001,0.79325181245803833,0.339933842420578,0.91589301824569702,0.14135854416416704,0.2371402233839035,-0.097634625062908875,-0.00088353587804756994,0.29165971279144287,0.10670121014118195,0.17079871892929077,0.55208736658096313,0.29491696024157021,0.016729991883039474,0.99949672873678908,1,1987
0,M1,1,cpsa,3,0.87820835430296929,0.10837595490996539,0.46438229084014893,0.21768373250961304,0.79457235336303711,-0.083636000939932176,0.5036197304725647,0,0,0,0,0,0,0,0.43109509348869324,0.85707096124811277,1,1987
0,M1,2,cpsa,4,0.79466532460996475,0.091949641299595694,0.55363130569458008,0.28037232160568237,0.82660341262817383,0.031938088018209077,0.45447459816932678,-0.083543029693004534,-0.016426313610369697,0.089249014854431152,0.062688589096069336,0.032031059265136719,0.16467449069023132,0.091595369904378457,0.26670566201210022,0.94765978862606948,1,1987
