seed,source,k,operator,subject,n,accuracy,nll,brier,confidence,prediction_flip_rate,mean_l1_to_k1
0,M3,5,late_mean,8,654,0.73547400611620795,0.96873915195465088,0.40751653909683228,0.72427874803543091,0.46177370030581039,0.50033140182495117
0,M3,5,late_mean,9,671,0.93889716840536508,0.16295880079269409,0.079626642167568207,0.90483957529067993,0.055141579731743669,0.18466463685035706
0,M3,5,late_mean,10,662,0.77945619335347427,0.41255477070808411,0.24860057234764099,0.83785724639892578,0.22507552870090636,0.29414591193199158
0,M3,8,late_mean,8,654,0.6834862385321101,1.0083783864974976,0.43103718757629395,0.76557427644729614,0.51987767584097855,0.61290597915649414
0,M3,8,late_mean,9,671,0.93591654247391953,0.1604790985584259,0.083025261759757996,0.92225837707519531,0.058122205663189271,0.22621418535709381
0,M3,8,late_mean,10,662,0.77039274924471302,0.47266504168510437,0.29091751575469971,0.86278760433197021,0.23413897280966767,0.36032873392105103
0,M3,16,late_mean,8,654,0.6330275229357798,1.0920994281768799,0.46877557039260864,0.81528449058532715,0.57492354740061158,0.72965002059936523
0,M3,16,late_mean,9,671,0.9314456035767511,0.16387873888015747,0.090135455131530762,0.94064527750015259,0.06259314456035768,0.2693026065826416
0,M3,16,late_mean,10,662,0.76586102719033233,0.57353740930557251,0.34197303652763367,0.88942718505859375,0.23867069486404835,0.4289628267288208
0,M3,32,late_mean,8,654,0.63149847094801226,1.1911282539367676,0.497322678565979,0.84603303670883179,0.57951070336391441,0.79832285642623901
0,M3,32,late_mean,9,671,0.92846497764530556,0.17115065455436707,0.096023380756378174,0.95166271924972534,0.065573770491803282,0.29464876651763916
0,M3,32,late_mean,10,662,0.75981873111782472,0.68056464195251465,0.37541651725769043,0.90529859066009521,0.24471299093655588,0.46933579444885254
0,M3,64,late_mean,8,654,0.63149847094801226,1.2939221858978271,0.51487571001052856,0.86287117004394531,0.58103975535168195,0.83578091859817505
0,M3,64,late_mean,9,671,0.92846497764530556,0.17855814099311829,0.099767431616783142,0.95767945051193237,0.065573770491803282,0.30847379565238953
0,M3,64,late_mean,10,662,0.75981873111782472,0.78713870048522949,0.39472329616546631,0.91408538818359375,0.24471299093655588,0.49135735630989075
0,M3,100,late_mean,8,654,0.63149847094801226,1.3587508201599121,0.52181875705718994,0.86919963359832764,0.58103975535168195,0.84982764720916748
0,M3,100,late_mean,9,671,0.92846497764530556,0.18250435590744019,0.10126836597919464,0.95993602275848389,0.065573770491803282,0.31365841627120972
0,M3,100,late_mean,10,662,0.75981873111782472,0.85363781452178955,0.40215709805488586,0.91738033294677734,0.24471299093655588,0.49961543083190918
0,M1,1,cpsa,8,654,0.76299694189602452,0.93801093101501465,0.41979244351387024,0.72075164318084717,0,0
0,M1,1,cpsa,9,671,0.97466467958271241,0.20865027606487274,0.10900451242923737,0.84378290176391602,0,0
0,M1,1,cpsa,10,662,0.89425981873111782,0.25568586587905884,0.12817411124706268,0.81762140989303589,0,0
0,M1,2,cpsa,8,654,0.54587155963302747,1.1493171453475952,0.56420737504959106,0.76551783084869385,0.23088685015290519,0.23982523381710052
0,M1,2,cpsa,9,671,0.96870342771982121,0.18414340913295746,0.092538498342037201,0.86219370365142822,0.013412816691505217,0.098889417946338654
0,M1,2,cpsa,10,662,0.86404833836858008,0.33965516090393066,0.19035470485687256,0.85087674856185913,0.033232628398791542,0.15711133182048798
0,M1,3,cpsa,8,654,0.52905198776758411,1.3247561454772949,0.66334825754165649,0.8172038197517395,0.25076452599388377,0.36246883869171143
0,M1,3,cpsa,9,671,0.96870342771982121,0.18085396289825439,0.09553363174200058,0.87087482213973999,0.019374068554396422,0.1489415168762207
0,M1,3,cpsa,10,662,0.85649546827794565,0.41473355889320374,0.23374450206756592,0.86207205057144165,0.040785498489425982,0.23939476907253265
0,M1,5,cpsa,8,654,0.52599388379204892,1.5703251361846924,0.76694422960281372,0.86349701881408691,0.25688073394495414,0.47192731499671936
0,M1,5,cpsa,9,671,0.9567809239940388,0.18305453658103943,0.10421871393918991,0.87755066156387329,0.03129657228017884,0.19341877102851868
0,M1,5,cpsa,10,662,0.84894259818731121,0.51968437433242798,0.2791517972946167,0.86696153879165649,0.051359516616314202,0.31826025247573853
0,M1,8,cpsa,8,654,0.51987767584097855,1.7888948917388916,0.82673090696334839,0.88781404495239258,0.26299694189602446,0.53047394752502441
0,M1,8,cpsa,9,671,0.94783904619970194,0.18653260171413422,0.11157426983118057,0.8815121054649353,0.046199701937406856,0.21825943887233734
0,M1,8,cpsa,10,662,0.84138972809667678,0.61152881383895874,0.308785080909729,0.86773377656936646,0.058912386706948643,0.36595374345779419
0,M1,16,cpsa,8,654,0.5107033639143731,2.070087194442749,0.87050634622573853,0.90488052368164062,0.27217125382262997,0.57280194759368896
0,M1,16,cpsa,9,671,0.93740685543964231,0.19053766131401062,0.11844900995492935,0.88432502746582031,0.05663189269746647,0.23732274770736694
0,M1,16,cpsa,10,662,0.8368580060422961,0.72413277626037598,0.33405777812004089,0.86766469478607178,0.064954682779456194,0.40461799502372742
0,M1,32,cpsa,8,654,0.50458715596330272,2.299985408782959,0.88860571384429932,0.91190320253372192,0.27828746177370028,0.59066236019134521
0,M1,32,cpsa,9,671,0.93591654247391953,0.1927545964717865,0.12182215601205826,0.88536471128463745,0.058122205663189271,0.24583582580089569
0,M1,32,cpsa,10,662,0.82930513595166166,0.80933630466461182,0.34587517380714417,0.86759203672409058,0.072507552870090641,0.42237627506256104
0,M1,64,cpsa,8,654,0.50152905198776754,2.4875223636627197,0.89651393890380859,0.91496235132217407,0.28134556574923547,0.59862989187240601
0,M1,64,cpsa,9,671,0.93293591654247388,0.19386385381221771,0.12342899292707443,0.8857874870300293,0.061102831594634872,0.24976213276386261
0,M1,64,cpsa,10,662,0.82930513595166166,0.87314403057098389,0.35136717557907104,0.86757051944732666,0.072507552870090641,0.43065327405929565
0,M1,100,cpsa,8,654,0.5,2.5899503231048584,0.89916020631790161,0.91598671674728394,0.28287461773700306,0.60133153200149536
0,M1,100,cpsa,9,671,0.93293591654247388,0.19425773620605469,0.12398963421583176,0.88592171669006348,0.061102831594634872,0.25111636519432068
0,M1,100,cpsa,10,662,0.82175226586102723,0.90529143810272217,0.35325911641120911,0.86758780479431152,0.080060422960725075,0.43352064490318298
0,M2,1,cpsa,8,654,0.76299694189602452,0.93801093101501465,0.41979244351387024,0.72075164318084717,0,0
0,M2,1,cpsa,9,671,0.97466467958271241,0.20865027606487274,0.10900451242923737,0.84378290176391602,0,0
0,M2,1,cpsa,10,662,0.89425981873111782,0.25568586587905884,0.12817411124706268,0.81762140989303589,0,0
0,M2,2,cpsa,8,654,0.68654434250764529,0.98374086618423462,0.45296061038970947,0.71396958827972412,0.14984709480122324,0.30032309889793396
0,M2,2,cpsa,9,671,0.81073025335320414,0.36054062843322754,0.22835010290145874,0.85599887371063232,0.17734724292101342,0.14427667856216431
0,M2,2,cpsa,10,662,0.9380664652567976,0.22197796404361725,0.10190188139677048,0.8540070652961731,0.13595166163141995,0.17327181994915009
0,M2,3,cpsa,8,654,0.58868501529051986,1.1104580163955688,0.55121332406997681,0.75133216381072998,0.35321100917431192,0.49272313714027405
0,M2,3,cpsa,9,671,0.8077496274217586,0.48358058929443359,0.29211285710334778,0.86727684736251831,0.18032786885245902,0.20780719816684723
0,M2,3,cpsa,10,662,0.91389728096676737,0.23997713625431061,0.11655476689338684,0.88695645332336426,0.16012084592145015,0.26349574327468872
0,M2,5,cpsa,8,654,0.49082568807339449,1.3555377721786499,0.70225614309310913,0.83542758226394653,0.45412844036697247,0.68030202388763428
0,M2,5,cpsa,9,671,0.79731743666169896,0.64577531814575195,0.34129595756530762,0.87314122915267944,0.19076005961251863,0.25753679871559143
0,M2,5,cpsa,10,662,0.91087613293051362,0.28656584024429321,0.13894404470920563,0.91345268487930298,0.16314199395770393,0.33928936719894409
